wave_peak	wave_base	wave_top	note
530.58373	530.55933	530.61424	Cr 2
531.28533	531.23042	531.30363	Cr 1
531.50496	531.43175	531.54157	Fe 1
531.75509	531.72459	531.78560	Fe 1
531.87711	531.85881	531.90152	Cr 1
532.41866	532.33325	532.47357	Fe 1
532.80304	532.70542	532.83355	Fe 1
533.99279	533.95618	534.06600	Fe 1
534.58461	534.53580	534.62732	Cr 1
536.53815	536.51375	536.59306	Fe 1
536.99461	536.90919	537.06172	Fe 1
538.63074	538.60634	538.66125	Fe 1
538.83207	538.78936	538.87478	Ni 1
538.94701	538.87990	539.01413	Fe 1
539.31919	539.25818	539.38020	Fe 1
539.71577	539.64256	539.78899	Fe 1
539.82560	539.78899	539.86830	Fe 1
540.05224	539.99733	540.09494	Fe 1
540.13155	540.09494	540.16205	Ti 1
540.57605	540.48453	540.63096	Fe 1
540.67452	540.65012	540.70503	Fe 1
541.08938	541.02837	541.17479	Fe 1
541.52254	541.44933	541.59575	Fe 1
541.87562	541.84511	541.91833	Ti 2
542.40716	542.31565	542.43767	Fe 1
542.46134	542.44304	542.49185	Ni 2
542.46207	542.43767	542.49868	Ni 1
542.52308	542.49868	542.57799	Fe 2
543.29111	543.27281	543.33382	Fe 1
543.66394	543.60903	543.68834	Fe 1
544.13370	544.09100	544.17031	Fe 1
544.50585	544.47535	544.56076	Fe 1
544.68888	544.58516	544.76819	Fe 1
546.64071	546.57359	546.67121	Fe 1
546.69605	546.67165	546.73876	Fe 1
547.39116	547.34235	547.45217	Fe 1
547.69049	547.57458	547.73930	Ni 1
549.01410	548.98969	549.04460	Ti 1
549.06901	549.04460	549.11172	Ti 2
549.65496	549.61836	549.67937	Fe 1
550.14893	550.10012	550.18554	Fe 1
551.18017	551.14967	551.19847	Ti 1
551.29597	551.27156	551.33868	Ca 1
553.27888	553.24227	553.32769	Fe 1
553.48632	553.41311	553.51073	Fe 2
553.65711	553.60221	553.69372	Fe 1
554.31600	554.27940	554.35261	Fe 1
554.99320	554.96879	555.02980	Fe 1
555.48754	555.43873	555.52414	Fe 1
556.01814	555.99374	556.08525	Fe 1
556.01835	555.98784	556.05495	Fe 1
556.36002	556.32341	556.40883	Fe 1
556.73804	556.70143	556.77464	Fe 1
556.88446	556.83565	556.91496	Fe 1
556.96404	556.91523	557.01285	Fe 1
557.28741	557.20809	557.35452	Fe 1
558.67239	558.58698	558.72120	Fe 1
558.78792	558.72691	558.82453	Ni 1
558.87374	558.82493	558.91034	Ca 1
559.22718	559.16617	559.27599	Ni 1
559.37404	559.33743	559.40455	Ni 1
559.45291	559.40411	559.49562	Ca 1
561.47839	561.44789	561.49669	Ni 1
561.53330	561.49669	561.53940	Fe 1
561.56439	561.49728	561.65591	Fe 1
561.86335	561.82065	561.89386	Fe 1
562.00917	561.98476	562.01527	Fe 1
562.04639	562.01589	562.07690	Fe 1
562.45518	562.42467	562.49789	Fe 1
562.86328	562.84498	562.89989	Cr 1
563.66859	563.63809	563.68690	Fe 1
563.82722	563.79061	563.85772	Fe 1
565.51715	565.46834	565.52325	Fe 1
565.54765	565.52325	565.59646	Fe 1
566.06102	566.03052	566.10983	Si 1
566.13333	566.10283	566.16994	Fe 1
566.55429	566.51769	566.60920	Si 1
567.84767	567.80496	567.87817	Fe 1
567.90258	567.87817	567.94528	Fe 1
581.63070	581.57634	581.67600	Fe 1
585.96131	585.90695	586.01567	Fe 1
592.78339	592.73809	592.81057	Fe 1
595.31109	595.30203	595.37451	Ti 1
596.57947	596.52511	596.63383	Ti 1
600.79230	600.75606	600.81948	Fe 1
605.60309	605.54873	605.65745	Fe 1
610.26892	610.24174	610.29610	Ca 1
610.32328	610.29610	610.39576	Fe 1
612.21679	612.13525	612.28021	Ca 1
612.49764	612.46140	612.56106	Si 1
612.79662	612.75132	612.85098	Fe 1
613.17713	613.08654	613.24961	Si 1
613.66637	613.61201	613.72979	Fe 1
614.24620	614.21902	614.29150	Si 1
614.49987	614.46363	614.59047	Si 1
614.78073	614.73543	614.82603	Fe 2
615.76825	615.71389	615.86791	Fe 1
616.13065	616.10347	616.15783	Ca 1
616.22125	616.15783	616.29373	Ca 1
616.53834	616.49304	616.57458	Fe 1
616.64706	616.60176	616.69236	Ca 1
616.90074	616.82826	616.92792	Ca 1
616.95510	616.92792	617.00946	Ca 1
617.05475	617.00946	617.12723	Fe 1
617.53493	617.47151	617.58023	Ni 1
617.67988	617.61647	617.71612	Ni 1
618.01510	617.96074	618.09664	Fe 1
619.15664	619.05698	619.27442	Fe 1
620.03545	619.99015	620.08981	Fe 1
623.07050	623.02520	623.17016	Fe 1
623.73187	623.67751	623.78623	Si 1
624.06709	624.01273	624.12145	Fe 1
624.38418	624.34794	624.41136	Si 1
625.25393	625.20863	625.33547	Fe 1
625.80658	625.75222	625.83376	Ti 1
626.10556	626.06932	626.16897	Ti 1
630.14625	630.09189	630.21873	Fe 1
633.67960	633.61618	633.73396	Fe 1
636.44286	636.37944	636.52440	Fe 1
640.00338	639.90372	640.09398	Fe 1
640.72817	640.65569	640.75535	Si 1
641.68852	641.64322	641.73382	Fe 2
643.08374	643.02032	643.15621	Fe 1
644.98631	644.94101	645.06784	Ca 1
645.55708	645.52084	645.60238	Ca 1
646.26375	646.20033	646.31811	Ca 1
647.16067	647.06101	647.21503	Ca 1
649.38034	649.33504	649.41658	Ca 1
649.49812	649.46188	649.54342	Fe 1
649.89675	649.84239	649.92393	Fe 1
660.91354	660.85012	660.94978	Fe 1
671.76726	671.70384	671.82161	Ca 1
675.27342	675.21000	675.31872	Fe 1
680.69122	680.61874	680.74558	Fe 1
682.85653	682.81123	682.91088	Fe 1
684.36046	684.31516	684.41482	Fe 1
685.51106	685.43859	685.55636	Fe 1
685.81004	685.76474	685.87346	Fe 1
751.10446	751.03198	751.18600	Fe 1
780.78456	780.74832	780.83892	Fe 1
846.84001	846.77659	846.93967	Fe 1
855.68244	855.60090	855.79115	Si 1
868.86453	868.78299	868.93701	Fe 1
580.77911	580.74288	580.80629	Fe 1
583.16176	583.11646	583.20705	Ni 1
583.84122	583.78686	583.91369	Fe 1
584.81058	584.77434	584.85588	Fe 1
585.22732	585.17296	585.28167	Fe 1
585.74371	585.66217	585.80712	Ca 1
585.87960	585.85242	585.90678	Fe 1
590.56335	590.51805	590.60865	Fe 1
602.70305	602.65775	602.75740	Fe 1
606.28154	606.21812	606.32684	Fe 1
609.66978	609.62449	609.69696	Fe 1
625.42421	625.32456	625.47857	Fe 1
626.51135	626.43887	626.57477	Fe 1
631.53030	631.50312	631.55748	Fe 1
633.00699	632.94358	633.05229	Cr 1
639.24897	639.15838	639.28521	Fe 1
639.35769	639.30333	639.42110	Fe 1
641.16958	641.12428	641.20582	Fe 1
643.90554	643.84213	643.96896	Ca 1
649.16004	649.11474	649.21439	Ti 2
649.96633	649.93009	650.01163	Ca 1
650.12034	650.06599	650.13846	Cr 1
650.88134	650.85416	650.92664	Ca 1
666.11032	666.07408	666.16467	Cr 1
666.33680	666.26433	666.40022	Fe 1
666.74448	666.69012	666.79884	Fe 1
677.22629	677.18100	677.28065	Ni 1
678.68487	678.65769	678.73923	Fe 1
679.84448	679.78107	679.87166	Ca 1
680.40617	680.35181	680.46053	Fe 1
681.02221	680.98598	681.06751	Fe 1
681.95534	681.91910	681.99158	Fe 1
684.12961	684.05714	684.16585	Fe 1
686.02305	685.98681	686.05928	Fe 1
744.57444	744.50196	744.62879	Fe 1
746.23232	746.18702	746.28668	Cr 1
749.50279	749.43032	749.56621	Fe 1
778.05826	777.98578	778.12168	Fe 1
783.22216	783.14968	783.27652	Fe 1
849.80931	849.70965	850.04485	Ca 2
868.97010	868.93386	869.06069	Fe 1
